"","Participant.Private.ID","Eye.Condition","Task.Name","Trial.Number","Screen.Name","letter","Response","Attempt","Correct","Incorrect","Reaction.Time","ACQ","ACQ_answer"
"1",4333590,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2309.90000000002,"4 + 2 =",6
"2",4381159,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3049.32499991264,"4 + 2 =",6
"3",4443776,"Mono","Visual Acuity With Height","1","Screen 1","","8",1,0,1,1772.89999961853,"4 + 2 =",6
"4",4449137,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2863.29999995232,"4 + 2 =",6
"5",4450348,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1891.90000009537,"4 + 2 =",6
"6",4449717,"Mono","Visual Acuity With Height","1","Screen 1","","7",1,0,1,2263.29999999702,"4 + 2 =",6
"7",4494914,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2957.5,"4 + 2 =",6
"8",4454520,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3784.59999999963,"4 + 2 =",6
"9",4452039,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,4224.10000000009,"4 + 2 =",6
"10",4448050,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3296,"4 + 2 =",6
"11",4447916,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,6405,"4 + 2 =",6
"12",4404605,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2009.5,"4 + 2 =",6
"13",4336342,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2230.00000000003,"4 + 2 =",6
"14",4384320,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2296.90000009537,"4 + 2 =",6
"15",4495599,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2220.29999999702,"4 + 2 =",6
"16",4469128,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,19910.5850000051,"4 + 2 =",6
"17",4424285,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1642.10000002384,"4 + 2 =",6
"18",4339358,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2003.5,"4 + 2 =",6
"19",4334401,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3953.2999997139,"4 + 2 =",6
"20",4449574,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2772.2999997139,"4 + 2 =",6
"21",4475413,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3521,"4 + 2 =",6
"22",4373538,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3255,"4 + 2 =",6
"23",4333147,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,4297.89999985695,"4 + 2 =",6
"24",4488838,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,4014.90000000596,"4 + 2 =",6
"25",4429865,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1354.96000014246,"4 + 2 =",6
"26",4482002,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3075,"4 + 2 =",6
"27",4372219,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1976.29999999702,"4 + 2 =",6
"28",4472380,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,4306.90000009537,"4 + 2 =",6
"29",4449369,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,5672,"4 + 2 =",6
"30",4447985,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,5219,"4 + 2 =",6
"31",4392148,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1705.59999999404,"4 + 2 =",6
"32",4333569,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1965.40000009537,"4 + 2 =",6
"33",4445309,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,4243.59999990463,"4 + 2 =",6
"34",4460944,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1378.59999999404,"4 + 2 =",6
"35",4449420,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2115.09999999404,"4 + 2 =",6
"36",4334877,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2397.70000004768,"4 + 2 =",6
"37",4332728,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,1785,"4 + 2 =",6
"38",4495135,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3648.39999961853,"4 + 2 =",6
"39",4491824,"Mono","Visual Acuity With Height","1","Screen 1","","i",1,0,1,4705.39999999851,"4 + 2 =",6
"40",4476704,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,2735,"4 + 2 =",6
"41",4452506,"Mono","Visual Acuity With Height","1","Screen 1","","6",1,1,0,3731,"4 + 2 =",6
