"","X1","Participant.Private.ID","Eye.Condition","Trial.Number","Attempt","Reaction.Time","X.Coordinate","Y.Coordinate","VS_Puzzle","Correct"
"1",1,4333590,"Mono",1,1,7496.89999999991,493,117,"Image1.PNG",1
"2",13,4334401,"Mono",2,1,5065,310,141,"Image1.PNG",0
"3",20,4339358,"Mono",1,1,13256.8000000119,496,119,"Image1.PNG",1
"4",31,4384320,"Mono",3,1,8068.19999992847,497,128,"Image1.PNG",1
"5",42,4443776,"Mono",3,1,2051,491,129,"Image1.PNG",1
"6",52,4448050,"Mono",2,1,27875,492,118,"Image1.PNG",1
"7",59,4449137,"Mono",2,1,2826.70000004768,499,118,"Image1.PNG",1
"8",69,4449717,"Mono",3,1,13389.5,304,39,"Image1.PNG",0
"9",81,4452039,"Mono",4,1,9095.19999999995,509,115,"Image1.PNG",1
"10",91,4454520,"Mono",4,1,16872.0999999996,509,120,"Image1.PNG",1
"11",99,4449574,"Mono",3,1,2149,498,119,"Image1.PNG",1
"12",109,4424285,"Mono",4,1,13472.599999994,504,118,"Image1.PNG",1
"13",115,4404605,"Mono",1,1,6309.30000000005,491,123,"Image1.PNG",1
"14",127,4381159,"Mono",1,1,16716.774999979,492,118,"Image1.PNG",1
"15",138,4373538,"Mono",4,1,14850.6999999881,492,121,"Image1.PNG",1
"16",145,4336342,"Mono",1,1,11657,485,121,"Image1.PNG",1
"17",157,4333147,"Mono",4,1,55316.4000000954,493,119,"Image1.PNG",1
"18",163,4450348,"Mono",3,1,1635.60000014305,489,127,"Image1.PNG",1
"19",173,4334877,"Mono",1,1,6078.79999995232,486,122,"Image1.PNG",1
"20",185,4392148,"Mono",3,1,6246.5,491,116,"Image1.PNG",1
"21",198,4447985,"Mono",4,1,26309.7999999523,483,115,"Image1.PNG",1
"22",204,4449420,"Mono",3,1,12704.5,502,111,"Image1.PNG",1
"23",210,4450899,"Mono",1,1,8490.69999980927,505,124,"Image1.PNG",1
"24",221,4452506,"Mono",3,1,26166,490,122,"Image1.PNG",1
"25",226,4449369,"Mono",1,1,14379.8999998569,492,122,"Image1.PNG",1
"26",232,4449101,"Mono",1,1,5501.69999998808,500,125,"Image1.PNG",1
"27",243,4445309,"Mono",4,1,47142.3000000715,498,120,"Image1.PNG",1
"28",249,4429865,"Mono",4,1,5847.43000008166,498,120,"Image1.PNG",1
"29",259,4408537,"Mono",2,1,9779.5,492,117,"Image1.PNG",1
"30",272,4379880,"Mono",3,1,15386,510,123,"Image1.PNG",1
"31",283,4372219,"Mono",4,1,6605.69999999553,491,119,"Image1.PNG",1
"32",295,4354253,"Mono",4,1,4473.5,492,120,"Image1.PNG",1
"33",306,4336146,"Mono",4,1,4350.20000000298,492,121,"Image1.PNG",1
"34",315,4333569,"Mono",1,1,11107.5999999046,488,120,"Image1.PNG",1
"35",328,4332728,"Mono",3,1,1897,488,119,"Image1.PNG",1
"36",339,4333147,"Binoc",2,1,3622.70000004768,496,119,"Image1.PNG",1
"37",350,4333590,"Binoc",4,1,20528.8000000003,504,111,"Image1.PNG",1
"38",360,4334401,"Binoc",3,1,57774.5,493,120,"Image1.PNG",1
"39",371,4336342,"Binoc",1,1,5920,491,121,"Image1.PNG",1
"40",386,4339358,"Binoc",4,1,21360.5,490,118,"Image1.PNG",1
"41",396,4373538,"Binoc",4,1,5203.20000004768,485,117,"Image1.PNG",1
"42",407,4381159,"Binoc",4,1,14382.1400000015,491,119,"Image1.PNG",1
"43",417,4384320,"Binoc",4,1,3523.80000007153,512,118,"Image1.PNG",1
"44",428,4404605,"Binoc",4,1,11536.8999999999,486,118,"Image1.PNG",1
"45",440,4424285,"Binoc",4,1,2254.70000001788,477,114,"Image1.PNG",1
